,state,district,year,month,Bio_bio_age_5_17,Bio_bio_age_17_
0,Andaman and Nicobar Islands,Nicobar,2025,3,178,101
1,Andaman and Nicobar Islands,Nicobar,2025,4,151,117
2,Andaman and Nicobar Islands,Nicobar,2025,5,34,50
3,Andaman and Nicobar Islands,Nicobar,2025,6,61,75
4,Andaman and Nicobar Islands,Nicobar,2025,7,95,147
5,Andaman and Nicobar Islands,Nicobar,2025,9,94,155
6,Andaman and Nicobar Islands,Nicobar,2025,10,36,63
7,Andaman and Nicobar Islands,Nicobar,2025,11,132,58
8,Andaman and Nicobar Islands,Nicobar,2025,12,212,54
9,Andaman and Nicobar Islands,North And Middle Andaman,2025,3,470,347
10,Andaman and Nicobar Islands,North And Middle Andaman,2025,4,623,348
11,Andaman and Nicobar Islands,North And Middle Andaman,2025,5,272,250
12,Andaman and Nicobar Islands,North And Middle Andaman,2025,6,292,453
13,Andaman and Nicobar Islands,North And Middle Andaman,2025,7,351,648
14,Andaman and Nicobar Islands,North And Middle Andaman,2025,9,559,187
15,Andaman and Nicobar Islands,North And Middle Andaman,2025,10,303,108
16,Andaman and Nicobar Islands,North And Middle Andaman,2025,11,467,114
17,Andaman and Nicobar Islands,North And Middle Andaman,2025,12,443,148
18,Andaman and Nicobar Islands,South Andaman,2025,3,964,643
19,Andaman and Nicobar Islands,South Andaman,2025,4,856,649
20,Andaman and Nicobar Islands,South Andaman,2025,5,676,613
21,Andaman and Nicobar Islands,South Andaman,2025,6,492,571
22,Andaman and Nicobar Islands,South Andaman,2025,7,649,938
23,Andaman and Nicobar Islands,South Andaman,2025,9,1145,613
24,Andaman and Nicobar Islands,South Andaman,2025,10,601,383
25,Andaman and Nicobar Islands,South Andaman,2025,11,590,461
26,Andaman and Nicobar Islands,South Andaman,2025,12,1060,598
27,Andhra Pradesh,Alluri Sitharama Raju,2025,3,585,1408
28,Andhra Pradesh,Alluri Sitharama Raju,2025,4,877,1092
29,Andhra Pradesh,Alluri Sitharama Raju,2025,5,1125,964
30,Andhra Pradesh,Alluri Sitharama Raju,2025,6,1717,1219
31,Andhra Pradesh,Alluri Sitharama Raju,2025,7,718,1130
32,Andhra Pradesh,Alluri Sitharama Raju,2025,9,700,711
33,Andhra Pradesh,Alluri Sitharama Raju,2025,10,749,1270
34,Andhra Pradesh,Alluri Sitharama Raju,2025,11,1099,1013
