state,district,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,Enrol_Total,Update_Total,Grand_Total,UER_Score,Adult_Entry_Rate,Catch_Up_Index,CV_Volatility,Region,R21_Child_Bio_Intensity,R22_Adult_Bio_Intensity,R23_Adult_Workload_Share,R24_Infant_Enrol_Share,System_Phase,Cluster_ID
Andaman and Nicobar Islands,Nicobar,65.0,11.0,0.0,58.0,733.0,993.0,820.0,76.0,2604.0,2680.0,33.81818181818182,0.0,0.16666666666666666,0.7263302434989632,Other,16.83050847457627,1.11716621253406,0.5794776119402985,0.024253731343283583,Mature (Adult Maint.),0
Andaman and Nicobar Islands,North And Middle Andaman,128.0,4.0,0.0,112.0,1897.0,3780.0,2603.0,132.0,8392.0,8524.0,63.097744360902254,0.0,0.031007751937984496,1.5235101483570763,Other,33.45132743362832,1.3714436248682824,0.5279211637728766,0.015016424213984044,Mature (Adult Maint.),0
Andaman and Nicobar Islands,South Andaman,286.0,17.0,0.0,447.0,3999.0,7033.0,5469.0,303.0,16948.0,17251.0,55.75,0.0,0.059233449477351915,0.9435921959635302,Other,15.698660714285714,1.36725,0.5488377485363167,0.016578749058025623,Mature (Adult Maint.),0
Andhra Pradesh,Alluri Sitharama Raju,1105.0,116.0,34.0,1569.0,11302.0,8438.0,10169.0,1255.0,31478.0,32733.0,25.062101910828027,0.027070063694267517,0.10488245931283906,0.960935568577196,South,5.374522292993631,0.8996726532778908,0.655943543213271,0.03375798124217151,Mature (Adult Maint.),0
Andhra Pradesh,Anakapalli,523.0,12.0,8.0,1772.0,11688.0,3542.0,3181.0,543.0,20183.0,20726.0,37.10110294117647,0.014705882352941176,0.022900763358778626,1.5327594853627522,South,1.9977439368302312,0.27213619642398834,0.7174080864614494,0.025234005596834894,Mature (Adult Maint.),0
Andhra Pradesh,Anantapur,4861.0,310.0,10.0,20904.0,65066.0,154615.0,39119.0,5181.0,279704.0,284885.0,53.976071015052106,0.0019297568506368198,0.06375976964212259,0.9398047950916947,South,7.396077493422626,0.6012110593695729,0.3657089702862559,0.01706302543131439,Mixed/School Phase,0
Andhra Pradesh,Ananthapuramu,4089.0,326.0,0.0,8956.0,59789.0,35834.0,57731.0,4415.0,162310.0,166725.0,36.75498188405797,0.0,0.07970660146699267,0.8761769550224353,South,4.000669867143016,0.9655628031443385,0.7048732943469785,0.024525416104363474,Mature (Adult Maint.),0
Andhra Pradesh,Annamayya,868.0,48.0,105.0,5789.0,27845.0,5790.0,3922.0,1021.0,43346.0,44367.0,42.41291585127202,0.10273972602739725,0.05523590333716916,1.146737101908175,South,1.0,0.1408460820225526,0.7160051389546285,0.01956409042757004,Mature (Adult Maint.),0
Andhra Pradesh,Bapatla,421.0,55.0,16.0,2008.0,11506.0,3899.0,2083.0,492.0,19496.0,19988.0,39.545638945233264,0.032454361054766734,0.13033175355450238,1.4095388303157577,South,1.9407665505226481,0.1810202485443643,0.6798579147488493,0.021062637582549528,Mature (Adult Maint.),0
Andhra Pradesh,Chittoor,7497.0,659.0,43.0,28657.0,140979.0,168727.0,82711.0,8199.0,421074.0,429273.0,51.35048780487805,0.0052439024390243906,0.08789010402774074,0.37803454844095097,South,5.887605555167841,0.5866860547595404,0.5210903084983216,0.017464410759586557,Mature (Adult Maint.),0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,618.0,30.0,17.0,1752.0,12404.0,4352.0,2954.0,665.0,21462.0,22127.0,32.22522522522522,0.025525525525525526,0.048465266558966075,1.4249447709947722,South,2.4826012549914434,0.2381297863764611,0.6940841505852579,0.027929678673114296,Mature (Adult Maint.),0
Andhra Pradesh,East Godavari,7161.0,507.0,10.0,19090.0,136935.0,204904.0,96946.0,7678.0,457875.0,465553.0,59.62690454486261,0.001302252897512697,0.07079028204412176,0.751680779626304,South,10.733015557068775,0.7079657650289186,0.5023724473905227,0.015381707345887579,Mature (Adult Maint.),0
Andhra Pradesh,Eluru,568.0,45.0,16.0,2346.0,15238.0,4288.0,3942.0,629.0,25814.0,26443.0,40.974603174603175,0.025396825396825397,0.07908611599297012,1.3647149911010803,South,1.8270132083510866,0.25867839097053613,0.7253337367167114,0.02148016488295579,Mature (Adult Maint.),0
Andhra Pradesh,Guntur,8769.0,925.0,35.0,22026.0,155195.0,187665.0,104029.0,9729.0,468915.0,478644.0,48.19270298047277,0.0035971223021582736,0.10547320410490307,0.68070765922593,South,8.5197711899033,0.6703072244130003,0.5415799633965954,0.01832050542783363,Mature (Adult Maint.),0
Andhra Pradesh,Kakinada,858.0,84.0,27.0,3621.0,24648.0,7141.0,4557.0,969.0,39967.0,40936.0,41.203092783505156,0.027835051546391754,0.09778812572759023,1.0146320205300787,South,1.9715626725565987,0.18487565418475393,0.7134307211256595,0.02095954660934141,Mature (Adult Maint.),0
Andhra Pradesh,Krishna,6163.0,540.0,34.0,13459.0,98390.0,146788.0,86459.0,6737.0,345096.0,351833.0,51.21638468388246,0.0050460077174235675,0.08760545100584036,0.8173979213802618,South,10.905497771173849,0.8787287455153419,0.5253884655504174,0.01751683327032996,Mature (Adult Maint.),0
Andhra Pradesh,Kurnool,10923.0,823.0,24.0,29378.0,148267.0,242992.0,107641.0,11770.0,528278.0,540048.0,44.87961940361907,0.002038909183586781,0.07533870377151226,0.774395361402305,South,8.270941829197726,0.7259894245555346,0.47386158267413264,0.02022597991289663,Mixed/School Phase,0
Andhra Pradesh,Mahabub Nagar,1590.0,643.0,0.0,1698.0,21012.0,3882.0,24709.0,2233.0,51301.0,53534.0,22.963742166517456,0.0,0.40414833438089254,0.8386287492382677,South,2.2848734549735137,1.1758911150240328,0.8540553666828558,0.02970075092464602,Mature (Adult Maint.),0
Andhra Pradesh,N. T. R,790.0,97.0,46.0,4718.0,33352.0,6788.0,6771.0,933.0,51629.0,52562.0,55.27730192719486,0.04925053533190578,0.12262958280657396,0.8929360215427186,South,1.4384403475312566,0.20301022396785898,0.7633461436018416,0.015029869487462426,Mature (Adult Maint.),0
Andhra Pradesh,Nandyal,860.0,39.0,6.0,4798.0,22587.0,6337.0,4303.0,905.0,38025.0,38930.0,41.97019867549669,0.006622516556291391,0.04529616724738676,1.259548881371742,South,1.3204834340487601,0.1904993802018771,0.6907269458001541,0.022090932442846135,Mature (Adult Maint.),0
Andhra Pradesh,Palnadu,759.0,76.0,25.0,3955.0,21540.0,6007.0,4046.0,860.0,35548.0,36408.0,41.28687572590012,0.029036004645760744,0.1,1.3572583707058945,South,1.5184529828109201,0.1878278631447008,0.7027576356844649,0.020847066578773894,Mature (Adult Maint.),0
Andhra Pradesh,Parvathipuram Manyam,464.0,36.0,8.0,1511.0,7880.0,5090.0,5540.0,508.0,20021.0,20529.0,39.33398821218075,0.015717092337917484,0.07741935483870968,1.4263340404660385,South,3.3664021164021163,0.702956477604365,0.6537093867212236,0.022602172536411905,Mature (Adult Maint.),0
Andhra Pradesh,Prakasam,6405.0,1157.0,61.0,15519.0,104979.0,136533.0,75766.0,7623.0,332797.0,340420.0,43.65123294858342,0.008001049317943336,0.18061192631907586,0.9422922813782734,South,8.7972293814433,0.7217184225566775,0.5309470653898126,0.01881499324364021,Mature (Adult Maint.),0
Andhra Pradesh,Ranga Reddy,71.0,18.0,0.0,80.0,624.0,386.0,799.0,89.0,1889.0,1978.0,20.988888888888887,0.0,0.25,1.0031615025024727,South,4.765432098765432,1.2784,0.7194135490394338,0.0358948432760364,Mature (Adult Maint.),0
Andhra Pradesh,Sri Potti Sriramulu Nellore,6467.0,2089.0,608.0,10156.0,80032.0,105733.0,62879.0,9164.0,258800.0,267964.0,28.23786142935079,0.0663393344244408,0.3229746444032158,0.8093448076941719,South,10.409865117652851,0.7856634138417903,0.5333216402203281,0.024133838873878582,Mature (Adult Maint.),0
Andhra Pradesh,Sri Sathya Sai,879.0,40.0,19.0,3953.0,18156.0,5704.0,4711.0,938.0,32524.0,33462.0,34.63684771033014,0.02023429179978701,0.045454545454545456,1.1318615650251769,South,1.4425897824987355,0.25945916175579664,0.6833721833721834,0.026268603191680114,Mature (Adult Maint.),0
Andhra Pradesh,Srikakulam,4157.0,135.0,8.0,24315.0,111384.0,125178.0,67429.0,4300.0,328306.0,332606.0,76.33248081841433,0.001860032550569635,0.032467532467532464,0.8866254362587439,South,5.147968415857871,0.6053687659918301,0.5376120695357269,0.0124982712278191,Mature (Adult Maint.),0
Andhra Pradesh,Tirupati,802.0,689.0,228.0,4768.0,28462.0,5633.0,4765.0,1719.0,43628.0,45347.0,25.365116279069767,0.1325581395348837,0.8580323785803238,1.1566095090072086,South,1.1811700566156427,0.16741032217264518,0.7327276335810528,0.017685844708580502,Mature (Adult Maint.),0
Andhra Pradesh,Visakhapatnam,7874.0,488.0,42.0,19864.0,137329.0,195385.0,115918.0,8404.0,468496.0,476900.0,55.740154669839384,0.0049970255800118974,0.06196825396825397,0.37910724513762273,South,9.835640573873647,0.8440835942619966,0.5310274690710841,0.01651079890962466,Mature (Adult Maint.),0
Andhra Pradesh,Vizianagaram,3695.0,158.0,3.0,11069.0,67818.0,101296.0,58702.0,3856.0,238885.0,242741.0,61.93544205340939,0.00077780658542909,0.04274891774891775,0.9621255924489758,South,9.150496838301716,0.8655686459546734,0.5212139687980193,0.015221985573100548,Mature (Adult Maint.),0
Andhra Pradesh,West Godavari,5568.0,343.0,24.0,14258.0,112548.0,139979.0,80435.0,5935.0,347220.0,353155.0,58.49393530997305,0.004043126684636119,0.061590949901239,0.8527921090975613,South,9.816887579774178,0.7146665008129792,0.5464541065537795,0.015766448160156304,Mature (Adult Maint.),0
Andhra Pradesh,YSR Kadapa,6257.0,465.0,35.0,15235.0,96618.0,120310.0,59094.0,6757.0,291257.0,298014.0,43.09810594850548,0.005179047055341817,0.07430488974113135,1.0214552298000545,South,7.896429509057495,0.6116188327347624,0.5224989430026777,0.02099565792211104,Mature (Adult Maint.),0
Arunachal Pradesh,Anjaw,23.0,11.0,3.0,128.0,632.0,675.0,496.0,37.0,1931.0,1968.0,50.81578947368421,0.07894736842105263,0.4583333333333333,1.0199356256325869,Other,5.232558139534884,0.7835703001579779,0.573170731707317,0.011686991869918699,Mature (Adult Maint.),0
Arunachal Pradesh,Changlang,486.0,304.0,13.0,690.0,4969.0,5436.0,2747.0,803.0,13842.0,14645.0,17.21641791044776,0.01616915422885572,0.6242299794661191,1.2756577481661306,Other,7.86685962373372,0.5527162977867203,0.5268692386480027,0.033185387504267666,Mature (Adult Maint.),0
Arunachal Pradesh,Dibang Valley,7.0,3.0,0.0,28.0,132.0,313.0,158.0,10.0,631.0,641.0,57.36363636363637,0.0,0.375,1.1538461538461535,Other,10.793103448275861,1.1879699248120301,0.45241809672386896,0.0109204368174727,Mixed/School Phase,0
Arunachal Pradesh,East Kameng,88.0,79.0,14.0,292.0,1130.0,2690.0,1607.0,181.0,5719.0,5900.0,31.423076923076923,0.07692307692307693,0.8876404494382022,0.7408108104320361,Other,9.180887372013652,1.4208664898320071,0.4638983050847458,0.014915254237288136,Mixed/School Phase,0
Arunachal Pradesh,East Siang,80.0,86.0,2.0,423.0,2080.0,2242.0,1079.0,168.0,5824.0,5992.0,34.46153846153846,0.011834319526627219,1.0617283950617284,0.8109262350789981,Other,5.287735849056604,0.5185007208073041,0.5272029372496663,0.01335113484646195,Mature (Adult Maint.),0
Arunachal Pradesh,Kamle,3.0,25.0,2.0,64.0,254.0,57.0,86.0,30.0,461.0,491.0,14.870967741935484,0.06451612903225806,6.25,0.9037399634467156,Other,0.8769230769230769,0.33725490196078434,0.6924643584521385,0.006109979633401222,Mature (Adult Maint.),0
Arunachal Pradesh,Kra Daadi,18.0,59.0,4.0,145.0,369.0,717.0,523.0,81.0,1754.0,1835.0,21.390243902439025,0.04878048780487805,3.1052631578947367,0.701814796104564,Other,4.910958904109589,1.4135135135135135,0.48610354223433244,0.009809264305177113,Mixed/School Phase,0
Arunachal Pradesh,Kurung Kumey,19.0,44.0,12.0,106.0,229.0,1299.0,2091.0,75.0,3725.0,3800.0,49.01315789473684,0.15789473684210525,2.2,0.811874421149357,Other,12.14018691588785,9.091304347826087,0.6105263157894737,0.005,Mature (Adult Maint.),0
Arunachal Pradesh,Leparada,0.0,2.0,1.0,8.0,15.0,34.0,2.0,3.0,59.0,62.0,14.75,0.25,2.0,0.7530655685082077,Other,3.7777777777777777,0.125,0.27419354838709675,0.0,Mixed/School Phase,2
Arunachal Pradesh,Lohit,102.0,63.0,1.0,212.0,1654.0,1796.0,2095.0,166.0,5757.0,5923.0,34.47305389221557,0.005988023952095809,0.6116504854368932,1.2757081103881012,Other,8.431924882629108,1.2658610271903323,0.6329562721593787,0.017221002870167146,Mature (Adult Maint.),0
